,TEXT
55,　　2017-05-2514:50:48　　社保缺钱，而且注定缺口越来越大。缺口大了，就会饥不择食，对于一次性补交社保费来者不拒，所谓寅吃卯粮。想要拿养老金的人，其实根本不需要缴满十五年，退休前一次性买就可以了。逻辑不变，所以现在如此，以后也是如此。　　-----------------------------　　2017-05-2514:53:39　　中国社保基金有缺口，最根本的原因一是劳动力老龄化，二是当年缴纳社保基金水平非常低，现在要回报的退休工资非常高。　　-----------------------------　　2017-05-2517:36:20　　不对，根本原因还是贬值。如果继续贬值，缺口只会越来越大，再延退，交养老保险就没有啥实际意义了。　　-----------------------------　　人民币贬值，但工作人员现在缴纳的社保基金也大幅提高了。　　比如美元贬值最不厉害的，但美国养老金缺口也越来越大，甚至有的城市破产，这就是因为劳动力老龄化的结果。　　比如，7个劳动力养一个退休人员，劳动者需要缴纳其工资的12%，其中就能满足基本要求；　　而老龄化的到来，比如需要3个劳动力养一个退休人员，劳动者需要缴纳其工资的30%社保基金，这就会造成养老缺口越来越大。
56,　　2017-05-2514:50:48　　社保缺钱，而且注定缺口越来越大。缺口大了，就会饥不择食，对于一次性补交社保费来者不拒，所谓寅吃卯粮。想要拿养老金的人，其实根本不需要缴满十五年，退休前一次性买就可以了。逻辑不变，所以现在如此，以后也是如此。　　-----------------------------　　2017-05-2514:53:39　　中国社保基金有缺口，最根本的原因一是劳动力老龄化，二是当年缴纳社保基金水平非常低，现在要回报的退休工资非常高。　　-----------------------------　　2017-05-2517:36:20　　不对，根本原因还是贬值。如果继续贬值，缺口只会越来越大，再延退，交养老保险就没有啥实际意义了。　　-----------------------------　　美国州市养老金濒临破产缺口达3.85万亿美元　　http://www.globalview.cn/html/global/info_18094.html　　看一下，美国的退休金并不高，但缺口却如此巨大。
57,　　老子回复什么都违反了国家规定，档到底怕什么　　
58,　　发布了图片　　　　
59,　　发布了图片　　　　
60,　　2017-05-2519:33:28　　老子回复什么都违反了国家规定，档到底怕什么　　-----------------------------　　孩子，我回复东土恐怖分子也是这种待遇。　　每个论坛都有类似的敏感词设置问题，比如爱卡连27都不能回复，纽约时报、彭博社都是敏感词。这是各论坛设置的问题。
61,　　说来说去还不是社保钱不够用了又来忽悠农民了吗，08年社保不够用就强制企业给农民工交社保，现在这批人快要领钱了就开始延迟退休了！　　
62,　　看不懂你想表达什么　　
63,　　2017-05-2608:09:29　　看不懂你想表达什么　　-----------------------------　　的逻辑，是非常好笑的。比如，他看到有人掏钱从超市搬走了一台洗衣机，他也想不掏钱也搬走一台洗衣机，当超市有人阻止他的时候，他理直气壮地质问，为什么别人能搬走洗衣机呢？可惜他看不到别人掏钱的过程。　　农村老年人的95元每月确实不多，但这是相当于高龄补助的一种福利，是由国家财政支出的一项福利。　　那些退休的企业职工、公务员、教师、医生等，领取的退休金，是基于他们在工作的时候，对社保基金做了贡献后应得的，和这个福利不是一个性质的事。　　如果你真想给父母一份保障的话，应该给二老及早补缴社保基金。
64,　　2017-05-2606:59:29　　说来说去还不是社保钱不够用了又来忽悠农民了吗，08年社保不够用就强制企业给农民工交社保，现在这批人快要领钱了就开始延迟退休了！　　-----------------------------　　现在国家强制企业给农民工缴社保基金，现在又有人大骂国家，用农民工的钱给现在的老年人提供退休金。　　问题是，农民工现在不缴社保基金，将来他们老了时候，还不是他们父母现在的状态？　　中国养老最根本的问题是，人均GDP不够高，尤其是农民创造的人均GDP不够高，让他们没有多余的钱，为将来养老做打算。
65,　　2017-05-2608:09:29　　看不懂你想表达什么　　-----------------------------　　比如，有的农民工做建筑工每月能赚6000元，他把这些钱用于家庭生活，用于给子女结婚买房子，用于其他的消费，就是不想从中拿出一部分缴社保基金。　　当他年老的时候，想和那些缴了社保基金的人一样从社保基金那儿拿到退休金，这对那些缴社保基金的人公平吗？那些长年从自己收入中缴社保基金的人是弱智吗？将来还会有几个人愿意缴社保基金？吃大锅饭就真的能保障大家的养老吗？
66,　　2017-05-2608:09:29　　看不懂你想表达什么　　—————————————————　　68楼2017-05-2608:21:00　　比如，有的农民工做建筑工每月能赚6000元，他把这些钱用于家庭生活，用于给子女结婚买房子，用于其他的消费，就是不想从中拿出一部分缴社保基金。　　当他年老的时候，想和那些缴了社保基金的人一样从社保基金那儿拿到退休金，这对那些缴社保基金的人公平吗？那些长年从自己收入中缴社保基金的人是弱智吗？将来还会有几个人愿意缴社保基金？吃大锅饭就真的能保障大家的养老吗？　　—————————————————　　你说得有点像奥巴马的全民医保，不过不交社保的不是没有养老金的嘛　　
67,　　退休双轨制你不去谴责，却在这里和农民争一点点蝇头小利，你个苟奴才，没有农民你吃达便！
68,　　2017-05-2608:43:19　　退休双轨制你不去谴责，却在这里和农民争一点点蝇头小利，你个苟奴才，没有农民你吃达便！　　-----------------------------　　这位傻逼，你是说原来的公务员、事业人员吧？　　原来的公务员、事业人员，确实没有缴社保基金，因为国家财政没有给其提供这部分支出，这些人的退休金是从国家财政里支出的。　　现在的公务员、事业人员也缴纳社保基金，他们也开始从社保基金里领取退休金，国家财政每年要拨款弥补这个亏空。
69,　　2017-05-2608:43:19　　退休双轨制你不去谴责，却在这里和农民争一点点蝇头小利，你个苟奴才，没有农民你吃达便！　　-----------------------------　　如果国家财政允许，每月给老年农民发100000元的养老补助都没有问题。　　关键是社保基金是鼓励大家，在工作的时候积极完成社会化养老做贡献，将来他才能得到这个保障。　　吃大锅饭只能会把这个社保基金这口锅砸了，让所有人都没有退休金可拿。　　你这位畜生，你会缴社保基金原每月可领4000元退休金，为了那些没缴纳社保基金的领到退休金，你每月主动降到500元吗？　　如果不缴社保基金，都可以领取退休金，还有多少人愿意缴纳社保基金？
70,　　2017-05-2608:43:19　　退休双轨制你不去谴责，却在这里和农民争一点点蝇头小利，你个苟奴才，没有农民你吃达便！　　-----------------------------　　这位傻逼，能理解退休金和农民领取的95元每月不是一个性质吗？　　老年农民每月领取的95元，是国家财政提供的一项福利，是高龄补助。　　而退休金是你完成了社保基金贡献后，相当于你投资多年的一项收益。　　社保基金就相当于大家凑份子，将来给自己养老。　　这个机制应该是多贡献将来多拿退休金，少贡献少拿，不贡献不拿。　　政府只负责组织、协调、保管、经营这个社保基金，这些钱是全体社会的贡献。只要你对这个社保基金完成了你应尽的贡献，你就有权利、有资格领取退休金，这相当于你的一种投资，这也是你合法财产的一部分。
